"","date","dust_avg","fine_avg","dust_grade","fine_grade","IsDustyDay"
"1",20170101,80,58,6,7,1
"2",20170102,111,79.5,7,8,1
"3",20170103,79,52,6,7,1
"4",20170104,57,35,5,5,1
"5",20170105,38,23,3,4,0
"6",20170106,22,13.5,2,2,0
"7",20170107,56,40,5,6,1
"8",20170108,32,22.5,3,4,0
"9",20170109,61,46.5,5,6,1
"10",20170110,32,16,3,3,0
"11",20170111,25,12,2,2,0
"12",20170112,31,17,3,3,0
"13",20170113,31,13,3,2,0
"14",20170114,47,12,4,2,0
"15",20170115,28,14,2,2,0
"16",20170116,48,26,4,5,1
"17",20170117,69,46,5,6,1
"18",20170118,99,75,6,7,1
"19",20170119,105,71,7,7,1
"20",20170120,59,40,5,6,1
"21",20170121,51,36,5,5,1
"22",20170122,76,28,6,5,1
"23",20170123,48.5,37,4,5,1
"24",20170124,41,30,4,5,1
"25",20170125,51,37,5,5,1
"26",20170126,66,49,5,6,1
"27",20170127,111,20,7,3,1
"28",20170128,34,13,3,2,0
"29",20170129,28,17,2,3,0
"30",20170130,50,35,4,5,1
"31",20170131,30,19,2,3,0
"32",20170201,37,21,3,4,0
"33",20170202,34,18,3,3,0
"34",20170203,71,48,5,6,1
"35",20170204,100,74,6,7,1
"36",20170205,72,56,5,7,1
"37",20170206,42,28,4,5,1
"38",20170207,43,25,4,4,0
"39",20170208,56,32,5,5,1
"40",20170209,54,20,5,3,1
"41",20170210,34,18,3,3,0
"42",20170211,30,17,2,3,0
"43",20170212,32,18,3,3,0
"44",20170213,46,29,4,5,1
"45",20170214,54,34,5,5,1
"46",20170215,64,43,5,6,1
"47",20170216,71,49,5,6,1
"48",20170217,47,18,4,3,0
"49",20170218,32,18,3,3,0
"50",20170219,45,27,4,5,1
"51",20170220,46,23,4,4,0
"52",20170221,48,30,4,5,1
"53",20170222,41,30,4,5,1
"54",20170223,36,23,3,4,0
"55",20170224,30,18,2,3,0
"56",20170225,49,32,4,5,1
"57",20170226,49,33,4,5,1
"58",20170227,41,25,4,4,0
"59",20170228,46,28,4,5,1
"60",20170301,58,42,5,6,1
"61",20170302,34,23,3,4,0
"62",20170303,46,24,4,4,0
"63",20170304,55,34,5,5,1
"64",20170305,68,51,5,7,1
"65",20170306,37,26,3,5,1
"66",20170307,35,21,3,4,0
"67",20170308,46,20,4,3,0
"68",20170309,50,22,4,4,0
"69",20170310,48,27,4,5,1
"70",20170311,67,42,5,6,1
"71",20170312,90,66,6,7,1
"72",20170313,64,44,5,6,1
"73",20170314,54,29,5,5,1
"74",20170315,44,25,4,4,0
"75",20170316,67,45,5,6,1
"76",20170317,77,55,6,7,1
"77",20170318,75,52,5,7,1
"78",20170319,79,55,6,7,1
"79",20170320,99,68,6,7,1
"80",20170321,102,67,7,7,1
"81",20170322,53.5,32,5,5,1
"82",20170323,76.5,43,6,6,1
"83",20170324,61,36,5,5,1
"84",20170325,68,44,5,6,1
"85",20170326,63,45,5,6,1
"86",20170327,76,56,6,7,1
"87",20170328,84,61,6,7,1
"88",20170329,58,40,5,6,1
"89",20170330,70,44,5,6,1
"90",20170331,53,34,5,5,1
"91",20170401,25,17,2,3,0
"92",20170402,50,34,4,5,1
"93",20170403,81,53,6,7,1
"94",20170404,77,47,6,6,1
"95",20170405,51,31,5,5,1
"96",20170406,27,18.5,2,3,0
"97",20170407,45,28,4,5,1
"98",20170408,65,43,5,6,1
"99",20170409,42,26,4,5,1
"100",20170410,30,17,2,3,0
"101",20170411,60,24,5,4,1
"102",20170412,70,12,5,2,1
"103",20170413,74,27,5,5,1
"104",20170414,60,22,5,4,1
"105",20170415,72,32,5,5,1
"106",20170416,63,33,5,5,1
"107",20170417,49,26,4,5,1
"108",20170418,43,21,4,4,0
"109",20170419,92,17,6,3,1
"110",20170420,90,23,6,4,1
"111",20170421,73,24,5,4,1
"112",20170422,64,25,5,4,1
"113",20170423,52,24,5,4,1
"114",20170424,46,19,4,3,0
"115",20170425,63,30,5,5,1
"116",20170426,45,17,4,3,0
"117",20170427,47,15,4,2,0
"118",20170428,68,24,5,4,1
"119",20170429,67,28,5,5,1
"120",20170430,96,52,6,7,1
"121",20170501,96,50,6,6,1
"122",20170502,101,49,7,6,1
"123",20170503,74,34,5,5,1
"124",20170504,69,33,5,5,1
"125",20170505,60,25,5,4,1
"126",20170506,208,20,8,3,1
"127",20170507,97,17,6,3,1
"128",20170508,189,37,8,5,1
"129",20170509,130,30,7,5,1
"130",20170510,45,20,4,3,0
"131",20170511,76,33,6,5,1
"132",20170512,77,43,6,6,1
"133",20170513,54,25,5,4,1
"134",20170514,65,14,5,2,1
"135",20170515,48,12,4,2,0
"136",20170516,39,16,3,3,0
"137",20170517,42,19,4,3,0
"138",20170518,52,27,5,5,1
"139",20170519,50,26,4,5,1
"140",20170520,41,21,4,4,0
"141",20170521,33,19,3,3,0
"142",20170522,46,27,4,5,1
"143",20170523,39,22,3,4,0
"144",20170524,29,16,2,3,0
"145",20170525,40,15,3,2,0
"146",20170526,27,9,2,2,0
"147",20170527,37,15,3,2,0
"148",20170528,49,24,4,4,0
"149",20170529,74,38,5,6,1
"150",20170530,53,24,5,4,1
"151",20170531,41,20,4,3,0
"152",20170601,41,19,4,3,0
"153",20170602,31,11,3,2,0
"154",20170603,34,12,3,2,0
"155",20170604,32,11,3,2,0
"156",20170605,29,14,2,2,0
"157",20170606,23,10,2,2,0
"158",20170607,18,10,2,2,0
"159",20170608,46.5,28,4,5,1
"160",20170609,62.5,38,5,6,1
"161",20170610,52.5,23,5,4,1
"162",20170611,31,10.5,3,2,0
"163",20170612,34,13,3,2,0
"164",20170613,40,18,3,3,0
"165",20170614,48,22,4,4,0
"166",20170615,54,25,5,4,1
"167",20170616,72,38,5,6,1
"168",20170617,56,30,5,5,1
"169",20170618,47,26,4,5,1
"170",20170619,57,31,5,5,1
"171",20170620,55,30,5,5,1
"172",20170621,62,34,5,5,1
"173",20170622,42,24,4,4,0
"174",20170623,47,25,4,4,0
"175",20170624,46,23,4,4,0
"176",20170625,38,23,3,4,0
"177",20170626,29,17,2,3,0
"178",20170627,32,19,3,3,0
"179",20170628,51,31,5,5,1
"180",20170629,54,35,5,5,1
"181",20170630,58,37,5,5,1
"182",20170701,47,30,4,5,1
"183",20170702,27,17,2,3,0
"184",20170703,25.5,15,2,2,0
"185",20170704,36.5,23,3,4,0
"186",20170705,43.5,27,4,5,1
"187",20170706,52,35,5,5,1
"188",20170707,24,13,2,2,0
"189",20170708,28,16,2,3,0
"190",20170709,28,18,2,3,0
"191",20170710,16,9,2,2,0
"192",20170711,42,27,4,5,1
"193",20170712,51,32,5,5,1
"194",20170713,53,35,5,5,1
"195",20170714,51,34,5,5,1
"196",20170715,23,14,2,2,0
"197",20170716,20,12,2,2,0
"198",20170717,25,14,2,2,0
"199",20170718,28,17,2,3,0
"200",20170719,41,26,4,5,1
"201",20170720,56,38,5,6,1
"202",20170721,64,45,5,6,1
"203",20170722,60,42,5,6,1
"204",20170723,54,36,5,5,1
"205",20170724,37,22,3,4,0
"206",20170725,29,16,2,3,0
"207",20170726,20,11,2,2,0
"208",20170727,31,18,3,3,0
"209",20170728,33,19,3,3,0
"210",20170729,17,9,2,2,0
"211",20170730,24,15,2,2,0
"212",20170731,23,13,2,2,0
"213",20170801,23,14,2,2,0
"214",20170802,37,25,3,4,0
"215",20170803,26,15,2,2,0
"216",20170804,29,19,2,3,0
"217",20170805,33,22.5,3,4,0
"218",20170806,27,18.5,2,3,0
"219",20170807,35,22,3,4,0
"220",20170808,46,29,4,5,1
"221",20170809,36,24,3,4,0
"222",20170810,9,5,1,1,0
"223",20170811,13,7,1,1,0
"224",20170812,12,7,1,1,0
"225",20170813,12,6,1,1,0
"226",20170814,10,5,1,1,0
"227",20170815,7,4,1,1,0
"228",20170816,9,5,1,1,0
"229",20170817,13,7,1,1,0
"230",20170818,28,18,2,3,0
"231",20170819,28,16,2,3,0
"232",20170820,11,7,1,1,0
"233",20170821,15,9,1,2,0
"234",20170822,18,11,2,2,0
"235",20170823,22,10,2,2,0
"236",20170824,24,9,2,2,0
"237",20170825,29,14,2,2,0
"238",20170826,27,12,2,2,0
"239",20170827,25,13,2,2,0
"240",20170828,31,18,3,3,0
"241",20170829,19,9,2,2,0
"242",20170830,27,11,2,2,0
"243",20170831,37,21,3,4,0
"244",20170901,25,14,2,2,0
"245",20170902,28,16,2,3,0
"246",20170903,34,21,3,4,0
"247",20170904,29,19,2,3,0
"248",20170905,27,14,2,2,0
"249",20170906,30,18,2,3,0
"250",20170907,39,25,3,4,0
"251",20170908,52,33,5,5,1
"252",20170909,63,40,5,6,1
"253",20170910,53,36,5,5,1
"254",20170911,23,16,2,3,0
"255",20170912,28,13,2,2,0
"256",20170913,26,11,2,2,0
"257",20170914,30,13,2,2,0
"258",20170915,18,9,2,2,0
"259",20170916,12,5,1,1,0
"260",20170917,10,5,1,1,0
"261",20170918,22,11,2,2,0
"262",20170919,66,41,5,6,1
"263",20170920,26,10,2,2,0
"264",20170921,31,16,3,3,0
"265",20170922,32,20,3,3,0
"266",20170923,56,25,5,4,1
"267",20170924,64,37,5,5,1
"268",20170925,47,26,4,5,1
"269",20170926,47,27,4,5,1
"270",20170927,42,23,4,4,0
"271",20170928,25,9,2,2,0
"272",20170929,25,9,2,2,0
"273",20170930,38,19,3,3,0
"274",20171001,35,20,3,3,0
"275",20171002,21,11,2,2,0
"276",20171003,38,11,3,2,0
"277",20171004,23,9,2,2,0
"278",20171005,16,8,2,1,0
"279",20171006,13,7,1,1,0
"280",20171007,10,6,1,1,0
"281",20171008,20,13,2,2,0
"282",20171009,26.5,17,2,3,0
"283",20171010,30,18,2,3,0
"284",20171011,13,7,1,1,0
"285",20171012,23,12,2,2,0
"286",20171013,29,15,2,2,0
"287",20171014,25,11,2,2,0
"288",20171015,24,12,2,2,0
"289",20171016,32,16,3,3,0
"290",20171017,40,20,3,3,0
"291",20171018,26,14,2,2,0
"292",20171019,21,11,2,2,0
"293",20171020,34,17,3,3,0
"294",20171021,40,22,3,4,0
"295",20171022,27,13,2,2,0
"296",20171023,27,10,2,2,0
"297",20171024,35,16,3,3,0
"298",20171025,44,22,4,4,0
"299",20171026,52,27,5,5,1
"300",20171027,62,34,5,5,1
"301",20171028,48,26,4,5,1
"302",20171029,68,22,5,4,1
"303",20171030,37,13,3,2,0
"304",20171031,36,14,3,2,0
"305",20171101,41,19,4,3,0
"306",20171102,51,27,5,5,1
"307",20171103,41,26,4,5,1
"308",20171104,54,38,5,6,1
"309",20171105,42,26,4,5,1
"310",20171106,37,20,3,3,0
"311",20171107,45,26,4,5,1
"312",20171108,69,30,5,5,1
"313",20171109,53,24,5,4,1
"314",20171110,46,21,4,4,0
"315",20171111,74,13,5,2,1
"316",20171112,33,18,3,3,0
"317",20171113,44,24,4,4,0
"318",20171114,47,17,4,3,0
"319",20171115,27,11,2,2,0
"320",20171116,28,13,2,2,0
"321",20171117,44,24,4,4,0
"322",20171118,41,21,4,4,0
"323",20171119,26,12,2,2,0
"324",20171120,39,22,3,4,0
"325",20171121,54,31,5,5,1
"326",20171122,67,31,5,5,1
"327",20171123,26,11,2,2,0
"328",20171124,22,12,2,2,0
"329",20171125,27,17,2,3,0
"330",20171126,39,23,3,4,0
"331",20171127,52,29,5,5,1
"332",20171128,76,47,6,6,1
"333",20171129,65,25,5,4,1
"334",20171130,25,8,2,1,0
"335",20171201,26,13,2,2,0
"336",20171202,43,25,4,4,0
"337",20171203,54,36,5,5,1
"338",20171204,46,27,4,5,1
"339",20171205,23,11,2,2,0
"340",20171206,34,22,3,4,0
"341",20171207,47,33,4,5,1
"342",20171208,34,21,3,4,0
"343",20171209,43,25,4,4,0
"344",20171210,41,25,4,4,0
"345",20171211,49,10,4,2,0
"346",20171212,34,17,3,3,0
"347",20171213,39,19,3,3,0
"348",20171214,57,35,5,5,1
"349",20171215,85,55,6,7,1
"350",20171216,61,42,5,6,1
"351",20171217,40.5,13,3,2,0
"352",20171218,57,34.5,5,5,1
"353",20171219,47.5,19,4,3,0
"354",20171220,43,25,4,4,0
"355",20171221,53,39,5,6,1
"356",20171222,60,43,5,6,1
"357",20171223,110.5,78,7,8,1
"358",20171224,79,58,6,7,1
"359",20171225,32,15,3,2,0
"360",20171226,31,14,3,2,0
"361",20171227,29.5,13,2,2,0
"362",20171228,49,26.5,4,5,1
"363",20171229,99,63,6,7,1
"364",20171230,134.5,90.5,7,8,1
"365",20171231,65.5,35.5,5,5,1
"366",20180101,44,21,4,4,0
"367",20180102,43,22,4,4,0
"368",20180103,37,18,3,3,0
"369",20180104,47.5,24,4,4,0
"370",20180105,61,36,5,5,1
"371",20180106,51,30.5,5,5,1
"372",20180107,57,39,5,6,1
"373",20180108,58.5,39,5,6,1
"374",20180109,45.5,19.5,4,3,0
"375",20180110,35,13,3,2,0
"376",20180111,35,23,3,4,0
"377",20180112,26,15,2,2,0
"378",20180113,54,38,5,6,1
"379",20180114,70,52,5,7,1
"380",20180115,70,47,5,6,1
"381",20180116,116,81,7,8,1
"382",20180117,114,86,7,8,1
"383",20180118,92,59,6,7,1
"384",20180119,62,27,5,5,1
"385",20180120,103,62,7,7,1
"386",20180121,66,34,5,5,1
"387",20180122,50,24,4,4,0
"388",20180123,25,11,2,2,0
"389",20180124,32,10,3,2,0
"390",20180125,25,12,2,2,0
"391",20180126,34,18,3,3,0
"392",20180127,47,26,4,5,1
"393",20180128,34,19,3,3,0
"394",20180129,47,16,4,3,0
"395",20180130,44,21,4,4,0
"396",20180131,42,20,4,3,0
"397",20180201,41,22,4,4,0
"398",20180202,57,33,5,5,1
"399",20180203,39,20,3,3,0
"400",20180204,34,21,3,4,0
"401",20180205,28,14,2,2,0
"402",20180206,32,19,3,3,0
"403",20180207,42,25,4,4,0
"404",20180208,53,35,5,5,1
"405",20180209,71,49,5,6,1
"406",20180210,79,44,6,6,1
"407",20180211,52,14,5,2,1
"408",20180212,49,14,4,2,0
"409",20180213,52,16,5,3,1
"410",20180214,69,30,5,5,1
"411",20180215,41,15,4,2,0
"412",20180216,46,19,4,3,0
"413",20180218,38,17,3,3,0
"414",20180219,62,39,5,6,1
"415",20180220,67,41,5,6,1
"416",20180221,38,19,3,3,0
"417",20180222,48,28,4,5,1
"418",20180223,92,64,6,7,1
"419",20180224,81,53,6,7,1
"420",20180225,47,31,4,5,1
"421",20180226,64,43,5,6,1
"422",20180227,100.5,64,6,7,1
"423",20180228,71.5,45,5,6,1
"424",20180301,44,31,4,5,1
"425",20180302,71,27.5,5,5,1
"426",20180303,60,28.5,5,5,1
"427",20180304,32,22,3,4,0
"428",20180305,10,6,1,1,0
"429",20180306,33,18,3,3,0
"430",20180307,30,16,2,3,0
"431",20180308,33,26,3,5,1
"432",20180309,54,36,5,5,1
"433",20180310,48.5,33,4,5,1
"434",20180311,62,41,5,6,1
"435",20180312,102.5,63,7,7,1
"436",20180313,70,40,5,6,1
"437",20180314,27,13,2,2,0
"438",20180315,24,16,2,3,0
"439",20180316,15,6,1,1,0
"440",20180317,33,20,3,3,0
"441",20180318,62,48,5,6,1
"442",20180319,32,23,3,4,0
"443",20180320,21,8,2,1,0
"444",20180409,41,27,4,5,1
"445",20180410,50,20,4,3,0
"446",20180411,68,25,5,4,1
"447",20180412,50,16,4,3,0
"448",20180413,38,15,3,2,0
"449",20180414,22,12,2,2,0
"450",20180415,80,23,6,4,1
"451",20180416,41,23,4,4,0
"452",20180417,64,31,5,5,1
"453",20180418,75,34,5,5,1
"454",20180419,82,40,6,6,1
"455",20180421,77,43,6,6,1
"456",20180422,40,21,3,4,0
"457",20180423,10,7,1,1,0
"458",20180424,10,5,1,1,0
"459",20180425,38.5,25,3,4,0
"460",20180426,49,32,4,5,1
"461",20180427,59,40,5,6,1
"462",20180428,63,41,5,6,1
"463",20180429,57,33,5,5,1
"464",20180430,83,61,6,7,1
"465",20180501,62,47,5,6,1
"466",20180502,45,37,4,5,1
"467",20180503,32,14,3,2,0
"468",20180504,47,16,4,3,0
"469",20180505,43,19,4,3,0
"470",20180506,15,10,1,2,0
"471",20180507,39,19,3,3,0
"472",20180508,21,7,2,1,0
"473",20180509,25,9,2,2,0
"474",20180510,44,22,4,4,0
"475",20180511,64,41,5,6,1
"476",20180512,31,21,3,4,0
"477",20180513,23,16,2,3,0
"478",20180514,73,55,5,7,1
"479",20180515,78,55,6,7,1
"480",20180516,34,24,3,4,0
"481",20180517,14,10,1,2,0
"482",20180520,12,5,1,1,0
"483",20180521,10,5,1,1,0
"484",20180527,69,28,5,5,1
"485",20180528,53,25,5,4,1
"486",20180601,47,24,4,4,0
"487",20180602,51,32,5,5,1
"488",20180604,44,27,4,5,1
"489",20180605,41,30,4,5,1
"490",20180622,50,33,4,5,1
"491",20180626,62,47,5,6,1
"492",20180630,52,38,5,6,1
"493",20180701,12,7,1,1,0
"494",20180702,11,6,1,1,0
"495",20180703,12,7,1,1,0
"496",20180706,8,3,1,1,0
"497",20180707,9,4,1,1,0
"498",20180708,12,6,1,1,0
"499",20180709,11,5,1,1,0
"500",20180710,23,12,2,2,0
"501",20180711,33.5,19,3,3,0
"502",20180712,28,16,2,3,0
"503",20180713,22.5,13,2,2,0
"504",20180714,22,13,2,2,0
"505",20180715,23,16,2,3,0
"506",20180716,27,18,2,3,0
