"","date","fine_dust_grade","hyper_dust_grade"
"1",20180101,4,2
"2",20180102,4,2
"3",20180103,3,2
"4",20180104,4,2
"5",20180105,5,3
"6",20180106,5,2
"7",20180107,5,3
"8",20180108,5,3
"9",20180109,4,2
"10",20180110,3,1
"11",20180111,3,2
"12",20180112,2,1
"13",20180113,5,3
"14",20180114,5,5
"15",20180115,5,4
"16",20180116,7,6
"17",20180117,7,6
"18",20180118,6,5
"19",20180119,5,2
"20",20180120,7,5
"21",20180121,5,3
"22",20180122,4,2
"23",20180123,2,1
"24",20180124,3,1
"25",20180125,2,1
"26",20180126,3,2
"27",20180127,4,2
"28",20180128,3,2
"29",20180129,4,2
"30",20180130,4,2
"31",20180131,4,2
"32",20180201,4,2
"33",20180202,5,3
"34",20180203,3,2
"35",20180204,3,2
"36",20180205,2,1
"37",20180206,3,2
"38",20180207,4,2
"39",20180208,5,3
"40",20180209,5,4
"41",20180210,6,4
"42",20180211,5,1
"43",20180212,4,1
"44",20180213,5,2
"45",20180214,5,2
"46",20180215,4,1
"47",20180216,4,2
"48",20180218,3,2
"49",20180219,5,3
"50",20180220,5,4
"51",20180221,3,2
"52",20180222,4,2
"53",20180223,6,5
"54",20180224,6,5
"55",20180225,4,3
"56",20180226,5,4
"57",20180227,6,5
"58",20180228,5,4
"59",20180301,4,3
"60",20180302,5,2
"61",20180303,5,2
"62",20180304,3,2
"63",20180305,1,1
"64",20180306,3,2
"65",20180307,2,2
"66",20180308,3,2
"67",20180309,5,3
"68",20180310,4,3
"69",20180311,5,4
"70",20180312,7,5
"71",20180313,5,3
"72",20180314,2,1
"73",20180315,2,2
"74",20180316,1,1
"75",20180317,3,2
"76",20180318,5,4
"77",20180319,3,2
"78",20180320,2,1
"79",20180409,4,2
"80",20180410,4,2
"81",20180411,5,2
"82",20180412,4,2
"83",20180413,3,1
"84",20180414,2,1
"85",20180415,6,2
"86",20180416,4,2
"87",20180417,5,3
"88",20180418,5,3
"89",20180419,6,3
"90",20180421,6,4
"91",20180422,3,2
"92",20180423,1,1
"93",20180424,1,1
"94",20180425,3,2
"95",20180426,4,3
"96",20180427,5,3
"97",20180428,5,4
"98",20180429,5,3
"99",20180430,6,5
"100",20180501,5,4
"101",20180502,4,3
"102",20180503,3,1
"103",20180504,4,2
"104",20180505,4,2
"105",20180506,1,1
"106",20180507,3,2
"107",20180508,2,1
"108",20180509,2,1
"109",20180510,4,2
"110",20180511,5,4
"111",20180512,3,2
"112",20180513,2,2
"113",20180514,5,5
"114",20180515,6,5
"115",20180516,3,2
"116",20180517,1,1
"117",20180520,1,1
"118",20180521,1,1
"119",20180527,5,2
"120",20180528,5,2
"121",20180601,4,2
"122",20180602,5,3
"123",20180604,4,2
"124",20180605,4,2
"125",20180622,4,3
"126",20180626,5,4
"127",20180630,5,3
"128",20180701,1,1
"129",20180702,1,1
"130",20180703,1,1
"131",20180706,1,1
"132",20180707,1,1
"133",20180708,1,1
"134",20180709,1,1
"135",20180710,2,1
"136",20180711,3,2
"137",20180712,2,2
"138",20180713,2,1
"139",20180714,2,1
"140",20180715,2,2
"141",20180716,2,2
"142",20180717,2,2
"143",20180718,3,2
"144",20180719,3,2
"145",20180720,3,2
"146",20180721,3,2
"147",20180722,3,2
"148",20180723,3,2
"149",20180724,4,2
"150",20180725,3,2
"151",20180726,4,2
"152",20180727,4,3
"153",20180728,3,2
"154",20180729,2,1
"155",20180730,1,1
"156",20180731,2,1
"157",20180801,3,2
"158",20180802,3,2
"159",20180803,4,3
"160",20180804,2,2
"161",20180805,2,2
"162",20180806,3,2
"163",20180807,2,1
"164",20180808,2,2
"165",20180809,2,2
"166",20180810,2,1
"167",20180811,1,1
"168",20180812,2,1
"169",20180813,3,2
"170",20180814,2,2
"171",20180815,2,2
"172",20180816,2,1
"173",20180817,1,1
"174",20180818,2,1
"175",20180819,2,1
"176",20180820,3,2
"177",20180821,2,1
"178",20180822,2,1
"179",20180823,1,1
"180",20180824,1,1
"181",20180825,2,1
"182",20180826,2,1
"183",20180827,1,1
"184",20180828,1,1
"185",20180829,1,1
"186",20180830,2,2
"187",20180831,2,1
"188",20180901,2,1
"189",20180902,1,1
"190",20180903,2,1
"191",20180904,2,1
"192",20180905,2,1
"193",20180906,3,2
"194",20180907,2,1
"195",20180908,2,1
"196",20180909,2,1
"197",20180910,1,1
"198",20180911,1,1
"199",20180912,2,1
"200",20180913,2,1
"201",20180914,2,1
"202",20180915,1,1
"203",20180916,3,2
"204",20180917,2,1
"205",20180918,3,2
"206",20180919,4,2
"207",20180920,2,1
"208",20180921,1,1
"209",20180922,3,1
"210",20180923,2,1
"211",20180924,1,1
"212",20180925,1,1
"213",20180926,1,1
"214",20180927,1,1
"215",20180928,1,1
"216",20180929,2,1
"217",20180930,2,1
"218",20181001,2,1
"219",20181002,2,1
"220",20181003,2,1
"221",20181004,2,1
"222",20181005,1,1
"223",20181006,1,1
"224",20181007,2,1
"225",20181008,2,1
"226",20181009,2,1
"227",20181010,2,1
"228",20181011,2,1
"229",20181012,2,1
"230",20181013,3,2
"231",20181014,3,2
"232",20181015,5,3
"233",20181016,5,2
"234",20181017,3,2
"235",20181018,2,1
"236",20181019,2,1
"237",20181020,4,2
"238",20181021,3,2
"239",20181022,4,3
"240",20181023,5,3
"241",20181024,4,2
"242",20181025,3,2
"243",20181026,3,2
"244",20181027,2,1
"245",20181028,1,1
"246",20181029,2,1
"247",20181030,2,1
"248",20181031,2,1
"249",20181101,3,2
"250",20181102,4,2
"251",20181103,5,3
"252",20181104,4,3
"253",20181105,5,3
"254",20181106,7,5
"255",20181107,5,4
"256",20181108,1,1
"257",20181109,3,2
"258",20181110,5,4
"259",20181111,5,4
"260",20181112,3,2
"261",20181113,4,2
"262",20181114,3,2
"263",20181115,4,3
"264",20181116,5,3
"265",20181117,3,2
"266",20181118,3,2
"267",20181119,5,3
"268",20181120,4,2
"269",20181121,3,2
"270",20181122,2,1
"271",20181123,2,1
"272",20181124,2,1
"273",20181125,4,3
"274",20181126,5,4
"275",20181127,7,5
"276",20181128,7,2
"277",20181129,6,2
"278",20181130,5,2
"279",20181201,4,2
"280",20181202,4,2
"281",20181203,4,2
"282",20181204,3,2
"283",20181205,2,1
"284",20181206,3,2
"285",20181207,2,1
"286",20181208,2,1
"287",20181209,2,1
"288",20181210,3,2
"289",20181211,4,2
"290",20181212,4,2
"291",20181213,3,2
"292",20181214,3,2
"293",20181215,5,3
"294",20181216,5,3
"295",20181217,5,4
"296",20181218,4,2
"297",20181219,5,2
"298",20181220,5,3
"299",20181221,5,4
"300",20181222,6,5
"301",20181223,5,2
"302",20181224,2,1
"303",20181225,3,2
"304",20181226,5,2
"305",20181227,2,1
"306",20181228,3,1
"307",20181229,3,1
"308",20181230,3,2
"309",20181231,4,2
